CPS_Aspect,CPS_Concern,CPS_Concern,CPS_Concern,CPS_Concern,Level,Pad,To Pad,Sum,Satisfied,Aspect Tree
Boundaries,,,,,1,1,1,3,True,Boundaries
Boundaries,Behavioral,,,,2,1,1,1,True,Boundaries
Boundaries,,,,,1,1,1,3,True,Boundaries
Boundaries,Responsibility,,,,2,1,1,1,True,Boundaries
Boundaries,,,,,1,1,1,3,True,Boundaries
Boundaries,Networkability,,,,2,1,1,1,True,Boundaries
Business,,,,,1,1,1,9,True,Business
Business,Cost,,,,2,1,1,1,True,Business
Business,,,,,1,1,1,9,True,Business
Business,Environment,,,,2,1,1,1,True,Business
Business,,,,,1,1,1,9,True,Business
Business,Planning,,,,2,1,1,1,True,Business
Business,,,,,1,1,1,9,True,Business
Business,TimeToMarket,,,,2,1,1,1,True,Business
Business,,,,,1,1,1,9,True,Business
Business,Quality,,,,2,1,1,1,True,Business
Business,,,,,1,1,1,9,True,Business
Business,Enterprise,,,,2,1,1,1,True,Business
Business,,,,,1,1,1,9,True,Business
Business,Policy,,,,2,1,1,1,True,Business
Business,,,,,1,1,1,9,True,Business
Business,Utility,,,,2,1,1,1,True,Business
Business,,,,,1,1,1,9,True,Business
Business,Regulatory,,,,2,1,1,1,True,Business
Composition,,,,,1,1,1,4,True,Composition
Composition,Discoverability,,,,2,1,1,1,True,Composition
Composition,,,,,1,1,1,4,True,Composition
Composition,Complexity,,,,2,1,1,1,True,Composition
Composition,,,,,1,1,1,4,True,Composition
Composition,Adaptability,,,,2,1,1,1,True,Composition
Composition,,,,,1,1,1,4,True,Composition
Composition,Constructivity,,,,2,1,1,1,True,Composition
Data,,,,,1,1,1,26,False,Data
Data,OperationsOnData,,,,2,1,1,5,True,Data
Data,OperationsOnData,Analytics,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,Identity,,,,2,1,1,10,False,Data
Data,Identity,ResourceIdentification,,,3,1,1,4,True,Data
Data,Identity,ResourceIdentification,DeviceIdentification,,4,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,RelationshipBetweenData,,,,2,1,1,7,True,Data
Data,RelationshipBetweenData,RelatedData,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,DataSemantics,,,,2,1,1,3,True,Data
Data,DataSemantics,Meaning,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,Identity,,,,2,1,1,10,False,Data
Data,Identity,Authentication,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,RelationshipBetweenData,,,,2,1,1,7,True,Data
Data,RelationshipBetweenData,DataQuality,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,RelationshipBetweenData,,,,2,1,1,7,True,Data
Data,RelationshipBetweenData,TimeOfData,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,Identity,,,,2,1,1,10,False,Data
Data,Identity,Configuration,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,OperationsOnData,,,,2,1,1,5,True,Data
Data,OperationsOnData,Aggregation_Disaggregation,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,Identity,,,,2,1,1,10,False,Data
Data,Identity,Provenance,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,RelationshipBetweenData,,,,2,1,1,7,True,Data
Data,RelationshipBetweenData,LocationOfData,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,RelationshipBetweenData,,,,2,1,1,7,True,Data
Data,RelationshipBetweenData,Polymorphism,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,RelationshipBetweenData,,,,2,1,1,7,True,Data
Data,RelationshipBetweenData,Inheritance,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,DataSemantics,,,,2,1,1,3,True,Data
Data,DataSemantics,DataModels,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,OperationsOnData,,,,2,1,1,5,True,Data
Data,OperationsOnData,Fusion,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,Identity,,,,2,1,1,10,False,Data
Data,Identity,ResourceIdentification,,,3,1,1,4,True,Data
Data,Identity,ResourceIdentification,ClassIdentification,,4,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,Identity,,,,2,1,1,10,False,Data
Data,Identity,ResourceIdentification,,,3,1,1,4,True,Data
Data,Identity,ResourceIdentification,ObjectIdentification,,4,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,Identity,,,,2,1,1,10,False,Data
Data,Identity,ResourceIdentification,,,3,1,1,4,True,Data
Data,Identity,ResourceIdentification,UserIdentification,,4,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,Velocity,,,,2,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
Data,RelationshipBetweenData,,,,2,1,1,7,True,Data
Data,RelationshipBetweenData,DirectionalityOfRelationships,,,3,1,1,1,True,Data
Data,,,,,1,1,1,26,False,Data
