CPS_Aspect,CPS_Concern1,CPS_Concern2,CPS_Concern3,CPS_Concern4,Level,Pad,To Pad,Sum,Satisfied,Aspect Tree
Boundaries,,,,,1,1,1,4,TRUE,Boundaries
Boundaries,Behavioral,,,,2,1,1,1,TRUE,Boundaries
Boundaries,,,,,1,1,1,4,TRUE,Boundaries
Boundaries,Responsibility,,,,2,1,1,1,TRUE,Boundaries
Boundaries,,,,,1,1,1,4,TRUE,Boundaries
Boundaries,Networkability,,,,2,1,1,1,TRUE,Boundaries
Boundaries,,,,,1,1,1,4,TRUE,Boundaries
Boundaries,TestBoundaries,,,,2,1,1,1,TRUE,Boundaries
Business,,,,,1,1,1,9,TRUE,Business
Business,Cost,,,,2,1,1,1,TRUE,Business
Business,,,,,1,1,1,9,TRUE,Business
Business,Environment,,,,2,1,1,1,TRUE,Business
Business,,,,,1,1,1,9,TRUE,Business
Business,Planning,,,,2,1,1,1,TRUE,Business
Business,,,,,1,1,1,9,TRUE,Business
Business,TimeToMarket,,,,2,1,1,1,TRUE,Business
Business,,,,,1,1,1,9,TRUE,Business
Business,Quality,,,,2,1,1,1,TRUE,Business
Business,,,,,1,1,1,9,TRUE,Business
Business,Enterprise,,,,2,1,1,1,TRUE,Business
Business,,,,,1,1,1,9,TRUE,Business
Business,Policy,,,,2,1,1,1,TRUE,Business
Business,,,,,1,1,1,9,TRUE,Business
Business,Utility,,,,2,1,1,1,TRUE,Business
Business,,,,,1,1,1,9,TRUE,Business
Business,Regulatory,,,,2,1,1,1,TRUE,Business
Composition,,,,,1,1,1,4,TRUE,Composition
Composition,Discoverability,,,,2,1,1,1,TRUE,Composition
Composition,,,,,1,1,1,4,TRUE,Composition
Composition,Complexity,,,,2,1,1,1,TRUE,Composition
Composition,,,,,1,1,1,4,TRUE,Composition
Composition,Adaptability,,,,2,1,1,1,TRUE,Composition
Composition,,,,,1,1,1,4,TRUE,Composition
Composition,Constructivity,,,,2,1,1,1,TRUE,Composition
Data,,,,,1,1,1,26,FALSE,Data
Data,OperationsOnData,,,,2,1,1,5,TRUE,Data
Data,OperationsOnData,Analytics,,,3,1,1,1,TRUE,Data
Data,,,,,1,1,1,26,FALSE,Data
Data,Identity,,,,2,1,1,10,FALSE,Data
Data,Identity,ResourceIdentification,,,3,1,1,4,TRUE,Data
Data,Identity,ResourceIdentification,DeviceIdentification,,4,1,1,1,TRUE,Data
Data,,,,,1,1,1,26,FALSE,Data
Data,RelationshipBetweenData,,,,2,1,1,7,TRUE,Data
Data,RelationshipBetweenData,RelatedData,,,3,1,1,1,TRUE,Data
Data,,,,,1,1,1,26,FALSE,Data
Data,DataSemantics,,,,2,1,1,3,TRUE,Data
Data,DataSemantics,Meaning,,,3,1,1,1,TRUE,Data
Data,,,,,1,1,1,26,FALSE,Data
Data,Identity,,,,2,1,1,10,FALSE,Data
Data,Identity,Authentication,,,3,1,1,1,TRUE,Data
Data,,,,,1,1,1,26,FALSE,Data
Data,RelationshipBetweenData,,,,2,1,1,7,TRUE,Data
Data,RelationshipBetweenData,DataQuality,,,3,1,1,1,TRUE,Data
Data,,,,,1,1,1,26,FALSE,Data
Data,RelationshipBetweenData,,,,2,1,1,7,TRUE,Data
Data,RelationshipBetweenData,TimeOfData,,,3,1,1,1,TRUE,Data
Data,,,,,1,1,1,26,FALSE,Data
Data,Identity,,,,2,1,1,10,FALSE,Data
Data,Identity,Configuration,,,3,1,1,1,TRUE,Data
Data,,,,,1,1,1,26,FALSE,Data
Data,OperationsOnData,,,,2,1,1,5,TRUE,Data
Data,OperationsOnData,Aggregation_Disaggregation,,,3,1,1,1,TRUE,Data
Data,,,,,1,1,1,26,FALSE,Data
Data,Identity,,,,2,1,1,10,FALSE,Data
